data,scontrini,lordototale,id_ristorante
20180513,0.0,0.0,R001
20180513,0.0,0.0,R005
20180513,0.0,0.0,R003
20180514,0.0,0.0,R003
20180514,0.0,0.0,R000
20180514,0.0,0.0,R004
20180514,0.0,0.0,R001
20180514,0.0,0.0,R005
20180515,0.0,0.0,R000
20180515,0.0,0.0,R001
20180515,0.0,0.0,R003
20180515,0.0,0.0,R005
20180515,0.0,0.0,R004
20180516,0.0,0.0,R000
20180516,0.0,0.0,R004
20180516,0.0,0.0,R003
20180516,0.0,0.0,R001
20180516,0.0,0.0,R005
20180517,0.0,0.0,R000
20180517,0.0,0.0,R005
20180517,0.0,0.0,R003
20180517,0.0,0.0,R001
20180517,0.0,0.0,R004
20180518,0.0,0.0,R003
20180518,0.0,0.0,R001
20180518,0.0,0.0,R000
20180518,0.0,0.0,R005
20180518,0.0,0.0,R004
20180519,0.0,0.0,R000
20180519,0.0,0.0,R001
20180519,0.0,0.0,R005
20180519,0.0,0.0,R003
20180519,0.0,0.0,R004
20180520,0.0,0.0,R005
20180520,0.0,0.0,R004
20180520,0.0,0.0,R000
20180520,0.0,0.0,R003
20180520,0.0,0.0,R001
20180521,0.0,0.0,R003
20180521,0.0,0.0,R001
20180521,0.0,0.0,R005
20180521,0.0,0.0,R004
20180521,0.0,0.0,R000
20180522,0.0,0.0,R003
20180522,0.0,0.0,R001
20180522,0.0,0.0,R004
20180522,0.0,0.0,R000
20180522,0.0,0.0,R005
20180523,0.0,0.0,R005
20180523,0.0,0.0,R003
20180523,0.0,0.0,R001
20180523,0.0,0.0,R004
20180523,0.0,0.0,R000
20180524,0.0,0.0,R004
20180524,0.0,0.0,R001
20180524,0.0,0.0,R003
20180524,0.0,0.0,R005
20180524,0.0,0.0,R000
20180525,0.0,0.0,R005
20180525,0.0,0.0,R004
20180525,0.0,0.0,R001
20180525,0.0,0.0,R000
20180525,0.0,0.0,R003
20180526,0.0,0.0,R000
20180526,0.0,0.0,R005
20180526,0.0,0.0,R003
20180526,0.0,0.0,R001
20180526,0.0,0.0,R004
20180527,0.0,0.0,R001
20180527,0.0,0.0,R004
20180527,0.0,0.0,R003
20180527,0.0,0.0,R005
20180527,0.0,0.0,R000
20180528,0.0,0.0,R000
20180528,0.0,0.0,R003
20180528,0.0,0.0,R001
20180528,0.0,0.0,R005
20180528,0.0,0.0,R004
20180529,0.0,0.0,R003
20180529,0.0,0.0,R005
20180529,0.0,0.0,R004
20180529,0.0,0.0,R001
20180529,0.0,0.0,R000
20180530,0.0,0.0,R001
20180530,0.0,0.0,R005
20180530,0.0,0.0,R003
20180530,0.0,0.0,R000
20180530,0.0,0.0,R004
20180531,0.0,0.0,R004
20180531,0.0,0.0,R005
20180531,0.0,0.0,R001
20180531,0.0,0.0,R000
20180531,0.0,0.0,R003
20180601,25842.0,520992.00000000006,R004
20180601,19719.0,380157.3000000001,R005
20180601,27274.0,691418.7000000001,R001
20180601,20933.0,248629.50000000003,R003
20180601,20747.0,445886.1,R000
20180602,0.0,0.0,R004
20180602,0.0,0.0,R003
20180602,0.0,0.0,R000
20180602,0.0,0.0,R001
20180602,0.0,0.0,R005
20180603,0.0,0.0,R005
20180603,0.0,0.0,R004
20180603,0.0,0.0,R003
20180603,0.0,0.0,R000
20180603,0.0,0.0,R001
20180604,0.0,0.0,R001
20180604,0.0,0.0,R000
20180604,0.0,0.0,R004
20180604,0.0,0.0,R003
20180604,0.0,0.0,R005
20180605,0.0,0.0,R001
20180605,0.0,0.0,R003
20180605,0.0,0.0,R004
20180605,0.0,0.0,R000
20180605,0.0,0.0,R005
20180606,0.0,0.0,R000
20180606,0.0,0.0,R003
20180606,0.0,0.0,R005
20180606,0.0,0.0,R001
20180606,0.0,0.0,R004
20180607,0.0,0.0,R000
20180607,0.0,0.0,R004
20180607,0.0,0.0,R001
20180607,0.0,0.0,R003
20180607,0.0,0.0,R005
20180608,0.0,0.0,R000
20180608,0.0,0.0,R004
20180608,0.0,0.0,R005
20180608,0.0,0.0,R001
20180608,0.0,0.0,R003
20180609,0.0,0.0,R005
20180609,0.0,0.0,R000
20180609,0.0,0.0,R001
20180609,0.0,0.0,R004
20180609,0.0,0.0,R003
20180610,0.0,0.0,R003
20180610,0.0,0.0,R004
20180610,0.0,0.0,R005
20180610,0.0,0.0,R000
20180610,0.0,0.0,R001
20180611,0.0,0.0,R004
20180611,0.0,0.0,R001
20180611,0.0,0.0,R000
20180611,0.0,0.0,R005
20180611,0.0,0.0,R003
20180612,0.0,0.0,R000
20180612,0.0,0.0,R005
20180612,0.0,0.0,R001
20180612,0.0,0.0,R004
20180612,0.0,0.0,R003
20180613,0.0,0.0,R004
20180613,0.0,0.0,R003
20180613,0.0,0.0,R005
20180613,0.0,0.0,R000
20180613,0.0,0.0,R001
20180614,0.0,0.0,R001
20180614,0.0,0.0,R004
20180614,0.0,0.0,R005
20180614,0.0,0.0,R003
20180614,0.0,0.0,R000
20180615,0.0,0.0,R003
20180615,0.0,0.0,R000
20180615,0.0,0.0,R005
20180615,0.0,0.0,R004
20180615,0.0,0.0,R001
20180616,0.0,0.0,R003
20180616,0.0,0.0,R001
20180616,0.0,0.0,R005
20180616,0.0,0.0,R004
20180616,0.0,0.0,R000
20180617,0.0,0.0,R003
20180617,0.0,0.0,R000
20180617,0.0,0.0,R005
20180617,0.0,0.0,R004
20180617,0.0,0.0,R001
20180618,0.0,0.0,R001
20180618,0.0,0.0,R005
20180618,0.0,0.0,R000
20180618,0.0,0.0,R003
20180618,0.0,0.0,R004
20180619,0.0,0.0,R005
20180619,0.0,0.0,R003
20180619,0.0,0.0,R004
20180619,0.0,0.0,R001
20180619,0.0,0.0,R000
20180620,0.0,0.0,R004
20180620,0.0,0.0,R005
20180620,0.0,0.0,R001
20180620,0.0,0.0,R000
20180620,0.0,0.0,R003
20180621,0.0,0.0,R000
20180621,0.0,0.0,R003
20180621,0.0,0.0,R005
20180621,0.0,0.0,R001
20180621,0.0,0.0,R004
20180622,0.0,0.0,R005
20180622,0.0,0.0,R000
20180622,0.0,0.0,R001
20180622,0.0,0.0,R004
20180622,0.0,0.0,R003
20180623,0.0,0.0,R000
20180623,0.0,0.0,R003
20180623,0.0,0.0,R004
20180623,0.0,0.0,R005
20180623,0.0,0.0,R001
20180624,0.0,0.0,R001
20180624,0.0,0.0,R004
20180624,0.0,0.0,R005
20180624,0.0,0.0,R003
20180624,0.0,0.0,R000
20180625,0.0,0.0,R005
20180625,0.0,0.0,R004
20180625,0.0,0.0,R000
20180625,0.0,0.0,R001
20180625,0.0,0.0,R003
20180626,0.0,0.0,R004
20180626,0.0,0.0,R005
20180626,0.0,0.0,R000
20180626,0.0,0.0,R001
20180626,0.0,0.0,R003
20180627,0.0,0.0,R001
20180627,0.0,0.0,R003
20180627,0.0,0.0,R004
20180627,0.0,0.0,R000
20180627,0.0,0.0,R005
20180628,0.0,0.0,R001
20180628,0.0,0.0,R005
20180628,0.0,0.0,R000
20180628,0.0,0.0,R003
20180628,0.0,0.0,R004
20180629,0.0,0.0,R001
20180629,0.0,0.0,R000
20180629,0.0,0.0,R003
20180629,0.0,0.0,R005
20180629,0.0,0.0,R004
20180630,0.0,0.0,R004
20180630,0.0,0.0,R000
20180630,0.0,0.0,R001
20180630,0.0,0.0,R005
20180630,0.0,0.0,R003
20180701,18267.0,361411.2,R005
20180701,26722.0,532056.6000000001,R004
20180701,27897.0,691456.5,R001
20180701,23383.0,489491.1,R000
20180701,22138.0,257515.2,R003
20180702,0.0,0.0,R000
20180702,0.0,0.0,R004
20180702,0.0,0.0,R003
20180702,0.0,0.0,R005
20180702,0.0,0.0,R001
20180703,0.0,0.0,R003
20180703,0.0,0.0,R001
20180703,0.0,0.0,R004
20180703,0.0,0.0,R005
20180703,0.0,0.0,R000
